,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,113.39999999999999,84.00000000000001,217.6,213.0,0.7542282165999998,4.870122086199999
qft_n20,-1.0,N/A,-1.0,N/A,-1.0,N/A
ising_n26,-1.0,N/A,-1.0,N/A,-1.0,N/A
bv_n19,50.0,33.99999999999999,47.199999999999996,54.0,0.24546015760000728,0.8547567844000071
dnn_n16,-1.0,N/A,-1.0,N/A,-1.0,N/A
multiplier_n25,-1.0,N/A,-1.0,N/A,-1.0,N/A
wstate_n27,38.0,7.105427357601002e-15,72.6,55.0,0.5839692815999569,1.6740632900000039
ghz_state_n23,39.0,42.00000000000001,46.599999999999994,64.0,0.22455835740001928,1.1977304784000806
cat_state_n22,41.2,31.999999999999996,44.2,54.0,0.18809798040010717,0.7457351438000386
square_root_n18,-1.0,N/A,-1.0,N/A,-1.0,N/A
cc_n18,73.0,18.0,90.6,71.0,0.5381235235999157,1.121757799200168
