,SABRE Swaps,MPATH Swaps,SABRE Depth,MPATH Depth,SABRE Time,MPATH Time
bigadder_n18,180.6,85.2,250.00000000000003,221.2,1.151065591000001,6.016615206199999
qft_n20,-1.0,N/A,-1.0,N/A,-1.0,N/A
ising_n26,-1.0,N/A,-1.0,N/A,-1.0,N/A
bv_n19,36.8,37.0,43.60000000000001,58.0,0.19128717160000974,0.9699015199999963
dnn_n16,-1.0,N/A,-1.0,N/A,-1.0,N/A
multiplier_n25,-1.0,N/A,-1.0,N/A,-1.0,N/A
wstate_n27,71.6,118.0,75.6,55.0,0.7092511433999789,3.755774171799931
ghz_state_n23,20.799999999999997,20.0,36.4,44.0,0.17061206720009067,0.5821786591999626
cat_state_n22,5.600000000000003,28.0,26.0,50.0,0.12169014480014083,0.671414898599869
square_root_n18,-1.0,N/A,-1.0,N/A,-1.0,N/A
cc_n18,34.0,23.0,78.60000000000001,78.0,0.32078240959981486,1.0108779923999465
